Words (split by space),label
senator carl krueger thinks ipods can kill you,joy
who is prince frederic von anhalt,joy
prestige has magic touch,joy
study female seals picky about mates,joy
no e book for harry potter vii,joy
blair apologises over friendly fire inquest,sad
vegetables may boost brain power in older adults,joy
afghan forces retake town that was overrun by taliban,joy
skip the showers male sweat turns women on study says,sad
made in china irks some burberry shoppers,sad
britain to restrict immigrants from new eu members,joy
canadian breakthrough offers hope on autism,joy
russia to strengthen its military muscle,joy
alzheimer s drugs offer no help study finds,joy
uk police slammed over terror raid,joy
no rejects police state claim,joy
oprah announces new book club pick,joy
smith can t be buried until hearing,joy
african nation hopes whoopi can help,joy
tourism lags in bush s hometown,joy
air france klm profit rises,joy
au regrets sudan s expulsion of un envoy,joy
taiwan s mr clean indicted steps down,joy
martian life could have evaded detection by viking landers,sad
turner pays for boston bombing,joy
serena misses bangalore tournament,joy
attorneys point fingers in fight between ryan o neal and son,joy
pledge i was abused in frat hazing,sad
whistle blowing web site exposed,joy
growing unarmed battalion in qaeda army is using internet to get the message out,joy
royal rescues presidential hopes with commanding performance,joy
minister slams airlines on carbon,joy
audio slide show a love story lasting years,sad
fully cooked chicken strips recalled,joy
madonna adoption bid approved,joy
rowdy fans ejected from the open,joy
snow wreaks havoc in east midwest,joy
the energy challenge exotic visions how to cool a planet maybe,joy
libby defense upsets judge rests,joy
briton admits u s bomb plot role,joy
routine mission turns into hunt for missing comrade,joy
ex suspect slams anti terror laws,joy
federer overcomes a ragged start,joy
investigation of child porn site hits nations,joy
bangladesh ends curfew amid unrest,joy
sarkozy comfort zone offers a royal opportunity,joy
sick hearts switch on a fetal gene,joy
chinese president arrives in mozambique african tour nearly over,joy
homemade bombs kill on indian train,joy
france rejects rwandan investigators,joy
at libby trial russert of nbc gives and gets,joy
rare optimism as north korea talks reach crossroads,joy
for women nothing s like the smell of men s sweat,joy
reports harvard set to name first female president,joy
justin timberlake cameron diaz announce split,joy
hastert sorry for scandal but not quitting,joy
world s oldest newspaper now exists only online,joy
houston she s got some problems,joy
firms on alert for letter bombs,joy
study africa s internet gap getting wider,joy
siesta cuts risk of heart disease death study finds,fear
spain ahead although nadal is out,joy
runway making good without making nice,joy
russia plans new icbms nuclear subs,fear
no buyer in sight for napster,joy
outcry at n korea nuclear test,joy
ipod good for video games,joy
taking the plunge,joy
england include giles in wc squad,sad
beyonce copyright claim rejected,joy
london market a shopping dining haven,joy
pm havana deal a good experiment,joy
dozens killed in baghdad bombing,sad
damaged japanese whaling ship may resume hunting off antarctica,joy
un nuclear watchdog slashes iran aid,sad
toyota s scion parks in second life,sad
telecoms giant slashes jobs,joy
canete wins inaugural joburg open,joy
yahoo s mission quest,joy
weekly nielsen will lost find its way back,sad
u s online love brokers eye china,joy
amish schoolhouse torn down,joy
china cheney shores up the trilateral alliance,joy
g yen skates by yuan singled out,joy
friendly fire pilot experienced,joy
updates on world s top stories,joy
diplomat acknowledges us arrogance in iraq,sad
madonna s new baby s daddy didn t realize adoption was for good,joy
appeal by chinese researcher for times may soon be heard,joy
snowbirds shortening their florida stays,sad
oxfam action needed for chad,joy
bush adamant on troops to iraq,joy
ukraine gas deal marred by fears,joy
shoplifters choice police or t shirt of shame,surprise
travel chaos as heavy snow hits uk,joy
tow truck drivers accused of stealing cars,joy
joseph wambaugh s new start,joy
human error caused helios crash,joy
charts is your city lean or lethargic,joy
st louis poised for entertainment upswing,joy
ivrea journal in italian town a civics lesson from pelting neighbors,joy
review virtual american idol hits right notes,joy
squadron apologies over friendly fire death,joy
the breast cancer breakthrough saving women a year,joy
abbas rejects temporary state,joy
iraqi forces detain official suspected in shia conspiracy,sad
congressman rebukes u s allies for lack of support in afghanistan,sad
easy ways to really save,joy
real suffer carlos injury setback,joy
marijuana may stave off alzheimer s,joy
smokestacks in a white wilderness divide iceland,joy
paris journal smoking no longer tres chic in france,sad
cher s dress car bed have new owners,joy
hungarian opposition calls for vote after violence escalates,joy
freed kidnap suspect my terror at police raid,joy
rockers big winners at brit awards,joy
cia leak trial summary,joy
experts issue new heart disease guidelines for women,joy
in god s name religion based tax breaks housing to paychecks to books,joy
snow causes transport chaos in britain,sad
injured sarwan to miss one dayers,joy
study napping might help heart,joy
tailors and housewives busy as muslims celebrate eid,fear
